"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-01",,"0","2","1","17","1","2.0","0.81","60","2399","1.72",,"2.0","33.7","39.4","28.0",,,,,,"180",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-02",,"0","2","2","12","2","1.6","0.74","57","3374","1.04",,"2.7","31.4","37.9","24.8",,,,,,"293",,,,,"38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-03",,"0","2","2","10","2","3.6","2.21","59","4113","10.41",,"4.6","41.2","48.5","33.9",,,,,,"135",,,,,"46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-04",,"1","0","0","32","0","0.0","3.42","76","4429","8.27",,"0.0","54.5","62.7","46.3",,,,,,"315",,,,,"36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-05",,"89","0","0","46","0","0.0","0.72","90","4498","2.33",,"0.0","65.6","74.6","56.6",,,,,,"293",,,,,"33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-06",,"271","0","0","47","0","0.0","1.08","94","4521","3.85",,"0.0","70.3","79.2","61.4",,,,,,"315",,,,,"34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-07",,"715","0","0","61","0","0.0","3.47","102","0","5.27",,"0.0","79.3","87.6","71.0",,,,,,"248",,,,,"42.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-08",,"1187","0","0","64","0","0.0","0.45","97","0","1.16",,"0.0","80.3","88.3","72.2",,,,,,"293",,,,,"31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-09",,"1395","0","0","45","0","0.0","0.91","96","33","1.98",,"0.0","70.8","79.2","62.4",,,,,,"293",,,,,"29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-10",,"1405","0","0","37","0","0.0","1.76","79","347","3.86",,"0.0","55.2","62.6","47.8",,,,,,"135",,,,,"46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-11",,"1405","0","0","28","0","0.0","1.68","71","958","4.12",,"0.0","44.6","51.2","38.0",,,,,,"315",,,,,"51.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1980-12",,"1405","1","2","-1","1","1.1","0.18","64","1968","0.59",,"2.8","32.4","39.9","25.0",,,,,,"315",,,,,"47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-01",,"0","20","3","2","5","4.1","0.41","49","3171","0.58",,"8.0","26.2","32.3","20.1",,,,,,"315",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-02",,"0","0","0","8","0","0.0","1.77","68","3891","6.05",,"0.0","39.3","46.3","32.3",,,,,,"315",,,,,"34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-03",,"0","2","1","17","6","8.6","0.65","77","4598","1.19",,"8.6","42.2","49.4","35.0",,,,,,"315",,,,,"44.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-04",,"3","0","0","33","0","0.0","0.87","81","4867","3.42","49.4","0.0","56.1","65.1","47.2","11778",,,,,"315",,,,,"47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-05",,"79","0","0","44","0","0.0","1.67","87","4950","3.56","58.4","0.0","64.8","73.7","55.9","15720",,,,,"180",,,,,"30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-06",,"322","0","0","58","0","0.0","0.72","93","4953","2.71","52.4","0.0","73.0","80.7","65.3","14166",,,,,"270",,,,,"38.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-07",,"739","0","0","62","0","0.0","1.76","96","0","6.21","68.0","0.0","78.5","86.3","70.6","18690",,,,,"315",,,,,"31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-08",,"1079","0","0","59","0","0.0","0.28","92","0","0.59","48.0","0.0","76.0","83.8","68.1","12360",,,,,"45",,,,,"34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-09",,"1206","0","0","47","0","0.0","1.55","89","51","3.45","44.4","0.0","67.5","74.5","60.6","9948",,,,,"315",,,,,"36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-10",,"1206","0","0","38","0","0.0","0.95","71","378","3.48","43.7","0.0","54.4","61.6","47.2","9078",,,,,"293",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-11",,"1206","0","0","29","0","0.0","0.81","72","898","1.70",,"0.0","47.7","53.3","42.1",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1981-12",,"1206","0","1","20","0","1.4","1.34","58","1781","5.18",,"2.1","36.5","40.9","32.1",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-01",,"0","16","3","0","6","5.8","2.73","58","2988","6.46",,"11.8","26.1","32.5","19.7",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-02",,"0","0","0","19","0","0.3","1.15","58","3818","2.37",,"0.4","35.3","41.6","29.0",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-03",,"0","0","0","22","0","0.7","0.81","60","4535","2.56",,"0.7","41.9","48.5","35.3",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-04",,"6","5","1","21","9","9.6","1.86","82","4955","5.67",,"9.6","51.2","60.4","42.0",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-05",,"57","0","0","49","0","0.0","0.68","84","5035","2.43",,"0.0","64.1","72.1","56.1",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-06",,"203","0","0","52","0","0.0","1.65","87","5074","5.12",,"0.0","68.6","75.5","61.7",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-07",,"603","0","0","60","0","0.0","2.18","98","0","3.15",,"0.0","77.9","86.1","69.7",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1982-08",,"860","0","0","50","0","0.0","1.86","89","6","4.66",,"0.0","73.1","81.0","65.2",,,,,,,,,,,
