"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-01","0.03",",,r",,,"10",",,r","14",",,r","9",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-02","0.00","T,,r",,,"6",",,r","9",",,r","3",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-03","0.04",",,r",,,"12",",,r","19",",,r","3",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-04","0.02",",,r",,,"15",",,r","22",",,r","8",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-05","0.05",",,r",,,"11",",,r","15",",,r","8",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-06","0.03",",,r",,,"12",",,r","17",",,r","8",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-07","0.02",",,r",,,"13",",,r","16",",,r","11",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-08","0.05",",,r",,,"14",",,r","22",",,r","10",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-09","0.05",",,r",,,"14",",,r","26",",,r","3",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-10","0.04",",,r",,,"4",",,r","8",",,r","-2",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-11","0.00","T,,r",,,"-18",",,r","5",",,r","-26",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-12","0.00",",,r",,,"-27",",,r","-16",",,r","-33",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-13","0.02",",,r",,,"-14",",,r","-6",",,r","-33",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-14","0.00","T,,r",,,"-18",",,r","-6",",,r","-25",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-15","0.11",",,r",,,"-8",",,r","-5",",,r","-13",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-16","0.01",",,r",,,"-28",",,r","-6",",,r","-36",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-01-17","0.00",",,r",,,"-41",",,r","-36",",,r","-46",",,r"
